Instrument,Revenue,Gross Profit,Operating Income,"Capital Expenditures, Cumulative",Selling/General/Administrative Expense,Net Income Incl Extra Before Distributions,Total Assets
MSFT.O,32471000000.0,20048000000.0,10248000000.0,-7309000000.0,5720000000.0,8420000000.0,258859000000.0
MSFT.O,30571000000.0,20401000000.0,10334000000.0,-9874000000.0,5744000000.0,8809000000.0,263281000000.0
MSFT.O,33717000000.0,23305000000.0,12396000000.0,-13925000000.0,6387000000.0,13187000000.0,286556000000.0
MSFT.O,33055000000.0,22649000000.0,12660000000.0,-3385000000.0,5398000000.0,10678000000.0,278955000000.0
MSFT.O,36906000000.0,24548000000.0,13881000000.0,-6930000000.0,6054000000.0,11649000000.0,282794000000.0
MSFT.O,35021000000.0,24046000000.0,12899000000.0,-10697000000.0,6184000000.0,10752000000.0,285449000000.0
MSFT.O,38033000000.0,25694000000.0,13386000000.0,-15441000000.0,7073000000.0,11202000000.0,301311000000.0
MSFT.O,37154000000.0,26152000000.0,15870000000.0,-4907000000.0,5350000000.0,13893000000.0,301001000000.0
MSFT.O,43076000000.0,28882000000.0,17895000000.0,-9081000000.0,6086000000.0,15463000000.0,304137000000.0
MSFT.O,41706000000.0,28661000000.0,17038000000.0,-14170000000.0,6409000000.0,15457000000.0,308879000000.0
MSFT.O,46152000000.0,32161000000.0,19100000000.0,-20622000000.0,7379000000.0,16458000000.0,333779000000.0
MSFT.O,45317000000.0,31671000000.0,20235000000.0,-5810000000.0,5834000000.0,20505000000.0,335418000000.0
MSFT.O,51728000000.0,34768000000.0,22242000000.0,-11675000000.0,6763000000.0,18765000000.0,340389000000.0
MSFT.O,49360000000.0,33745000000.0,20314000000.0,-17015000000.0,7075000000.0,16728000000.0,344607000000.0
MSFT.O,51865000000.0,35436000000.0,20491000000.0,-23886000000.0,8053000000.0,16740000000.0,364840000000.0
MSFT.O,50122000000.0,34670000000.0,21493000000.0,-6283000000.0,6524000000.0,17556000000.0,359784000000.0
MSFT.O,52747000000.0,35259000000.0,20395000000.0,-12557000000.0,6845000000.0,16425000000.0,364552000000.0
MSFT.O,52857000000.0,36729000000.0,22352000000.0,-19164000000.0,7393000000.0,18299000000.0,380088000000.0
MSFT.O,56189000000.0,39394000000.0,24253000000.0,-28107000000.0,8401000000.0,20081000000.0,411976000000.0
MSFT.O,56517000000.0,40215000000.0,26889000000.0,-9917000000.0,6661000000.0,22291000000.0,445785000000.0
MSFT.O,62020000000.0,42397000000.0,26871000000.0,-19652000000.0,8223000000.0,21870000000.0,470558000000.0
MSFT.O,61858000000.0,43353000000.0,27564000000.0,-30604000000.0,8119000000.0,21939000000.0,484275000000.0
MSFT.O,64727000000.0,45043000000.0,27903000000.0,-44477000000.0,9062000000.0,22036000000.0,512163000000.0
MSFT.O,65585000000.0,45486000000.0,30545000000.0,-14923000000.0,7390000000.0,24667000000.0,523013000000.0
MSFT.O,69632000000.0,47833000000.0,30786000000.0,-30727000000.0,8263000000.0,24108000000.0,533898000000.0
MSFT.O,70066000000.0,48147000000.0,31976000000.0,-47472000000.0,7949000000.0,25824000000.0,562624000000.0
MSFT.O,76441000000.0,52427000000.0,34278000000.0,-64551000000.0,9275000000.0,27233000000.0,619003000000.0
MSFT.O,77673000000.0,53630000000.0,37947000000.0,-19394000000.0,7523000000.0,27747000000.0,636351000000.0
MSFT.O,81273000000.0,55295000000.0,38216000000.0,-49270000000.0,8516000000.0,38458000000.0,665302000000.0
GOOGL.O,39276000000.0,21358000000.0,8221000000.0,-25139000000.0,7103000000.0,8948000000.0,232792000000.0
GOOGL.O,36339000000.0,20327000000.0,6608000000.0,-4638000000.0,5993000000.0,6657000000.0,245349000000.0
GOOGL.O,38944000000.0,21648000000.0,9180000000.0,-10764000000.0,6255000000.0,9947000000.0,257101000000.0
GOOGL.O,40499000000.0,22931000000.0,9177000000.0,-17496000000.0,7200000000.0,7068000000.0,263044000000.0
GOOGL.O,46075000000.0,25055000000.0,9266000000.0,-23548000000.0,8567000000.0,10671000000.0,275909000000.0
GOOGL.O,41159000000.0,22177000000.0,7977000000.0,-6005000000.0,7380000000.0,6836000000.0,273403000000.0
GOOGL.O,38297000000.0,19744000000.0,6383000000.0,-11396000000.0,6486000000.0,6959000000.0,278492000000.0
GOOGL.O,46173000000.0,25056000000.0,11213000000.0,-16802000000.0,6987000000.0,11247000000.0,299243000000.0
GOOGL.O,56898000000.0,30818000000.0,15651000000.0,-22281000000.0,8145000000.0,15227000000.0,319616000000.0
GOOGL.O,55314000000.0,31211000000.0,16437000000.0,-5942000000.0,7289000000.0,17930000000.0,327095000000.0
GOOGL.O,61880000000.0,35653000000.0,19361000000.0,-11438000000.0,8617000000.0,18525000000.0,335387000000.0
GOOGL.O,65118000000.0,37497000000.0,21031000000.0,-18257000000.0,8772000000.0,18936000000.0,347403000000.0
GOOGL.O,75325000000.0,42337000000.0,21885000000.0,-24640000000.0,11744000000.0,20642000000.0,359268000000.0
GOOGL.O,68011000000.0,38412000000.0,20094000000.0,-9786000000.0,9199000000.0,16436000000.0,357096000000.0
GOOGL.O,69685000000.0,39581000000.0,19453000000.0,-16614000000.0,10287000000.0,16002000000.0,355185000000.0
GOOGL.O,69092000000.0,37934000000.0,17135000000.0,-23890000000.0,10526000000.0,13910000000.0,358255000000.0
GOOGL.O,76048000000.0,40706000000.0,18160000000.0,-31485000000.0,12279000000.0,13624000000.0,365264000000.0
GOOGL.O,69787000000.0,39856000000.0,17415000000.0,-6289000000.0,9497000000.0,15051000000.0,369491000000.0
GOOGL.O,74604000000.0,42707000000.0,21838000000.0,-13177000000.0,10222000000.0,18368000000.0,383044000000.0
GOOGL.O,76693000000.0,43487000000.0,21343000000.0,-21232000000.0,10806000000.0,19689000000.0,396711000000.0
GOOGL.O,86310000000.0,48972000000.0,23697000000.0,-32251000000.0,12562000000.0,20687000000.0,402392000000.0
GOOGL.O,80539000000.0,46980000000.0,25472000000.0,-12012000000.0,8888000000.0,23662000000.0,407350000000.0
GOOGL.O,84742000000.0,49235000000.0,27425000000.0,-25198000000.0,9479000000.0,23619000000.0,414770000000.0
GOOGL.O,88268000000.0,51794000000.0,28521000000.0,-38259000000.0,10133000000.0,26301000000.0,430266000000.0
GOOGL.O,96469000000.0,55856000000.0,30972000000.0,-52535000000.0,11868000000.0,26536000000.0,450256000000.0
GOOGL.O,90234000000.0,53873000000.0,30606000000.0,-17197000000.0,9419000000.0,34540000000.0,475374000000.0
GOOGL.O,96428000000.0,57389000000.0,31271000000.0,-39643000000.0,10010000000.0,28196000000.0,502053000000.0
GOOGL.O,102346000000.0,60977000000.0,31228000000.0,-63596000000.0,10798000000.0,34979000000.0,536469000000.0
GOOGL.O,113829000000.0,68062000000.0,35934000000.0,-91447000000.0,13656000000.0,34455000000.0,595281000000.0
AMZN.O,72383000000.0,27597000000.0,3786000000.0,-13427000000.0,15412000000.0,3027000000.0,162648000000.0
AMZN.O,59700000000.0,25780000000.0,4420000000.0,-3290000000.0,12863000000.0,3561000000.0,178102000000.0
AMZN.O,63404000000.0,27067000000.0,3084000000.0,-6852000000.0,13981000000.0,2625000000.0,191351000000.0
AMZN.O,69981000000.0,28679000000.0,3157000000.0,-11549000000.0,15493000000.0,2134000000.0,199099000000.0
AMZN.O,87436000000.0,33459000000.0,3879000000.0,-16861000000.0,18984000000.0,3268000000.0,225248000000.0
